Hazard,Importance
Volcano,6.052955898340889e-05
Landslide,0.0009976311273267667
Tsunami,0.002538571867418236
Coastal Flooding,0.003238376720688479
Drought,0.0032735062512692843
Ice Storm,0.0038310649422828883
Cold Wave,0.0043811148682334905
Hail,0.00460200350357287
Avalanche,0.00825534963965943
Strong Wind,0.010114880682124915
Heat Wave,0.010966093396460742
Winter Weather,0.012471133266019
River Flooding,0.01584151281566554
Wildfire,0.018246397142524514
Tornado,0.03681440077615941
Lightning,0.04255286197378681
Hurricane,0.2624928189712979
Earthquake,0.5593217524965263
